Share,Opening,Closing,High,Lowest,Avg,h-l,-161.8,-138.2,-1,-76.4,-61.8,-50,-38.2,-23.6,Avg ,23.6,38.2,50,61.8,76.4,1,138.2,161.8
KRIDHANINF,2.07,2.58,604.95,2.07,120.82,602.88,23.274016,37.501984,-482.06,-339.78032,-251.75984,-180.62,-109.48016,-21.45968,120.82,263.09968,351.12016,422.26,493.39984,581.42032,723.7,204.138016,218.365984
KRISHANA,545.7,572.2,619,319.6,524.96,299.4,476.51708,483.58292,225.56,296.2184,339.9308,375.26,410.5892,454.3016,524.96,595.6184,639.3308,674.66,709.9892,753.7016,824.36,566.33708,573.40292
KRISHIVAL,322.95,319.45,947.1,318,441.8,629.1,340.01162,354.85838,-187.3,-38.8324,53.0162,127.25,201.4838,293.3324,441.8,590.2676,682.1162,756.35,830.5838,922.4324,1070.9,528.74162,543.58838
KRISHNADEF,897.9,950,970,74.99,745.218,895.01,600.405382,621.527618,-149.792,61.43036,192.10182,297.713,403.32418,533.99564,745.218,956.44036,1087.11182,1192.723,1298.33418,1429.00564,1640.228,868.908382,890.030618
KRITI,70,80.07,87.99,5.5,62.164,82.49,48.817118,50.763882,-20.326,-0.85836,11.18518,20.919,30.65282,42.69636,62.164,81.63164,93.67518,103.409,113.14282,125.18636,144.654,73.564118,75.510882
KRITIKA,5.35,5.96,69,5.19,18.066,63.81,7.741542,9.247458,-45.744,-30.68484,-21.36858,-13.839,-6.30942,3.00684,18.066,33.12516,42.44142,49.971,57.50058,66.81684,81.876,26.884542,28.390458
KRITINUT,62.45,68.25,954.75,60.9,240.936,893.85,96.31107,117.40593,-652.914,-441.9654,-311.4633,-205.989,-100.5147,29.9874,240.936,451.8846,582.3867,687.861,793.3353,923.8374,1134.786,364.46607,385.56093
KRN,872,969.35,986.2,133,769.288,853.2,631.24024,651.37576,-83.912,117.4432,242.0104,342.688,443.3656,567.9328,769.288,970.6432,1095.2104,1195.888,1296.5656,1421.1328,1622.488,887.20024,907.33576
KRONOX,120.7,133.45,189.4,117.5,141.448,71.9,129.81458,131.51142,69.548,86.5164,97.0138,105.498,113.9822,124.4796,141.448,158.4164,168.9138,177.398,185.8822,196.3796,213.348,151.38458,153.08142
KROSS,160,186.36,604.95,156.82,258.436,448.13,185.928566,196.504434,-189.694,-83.93532,-18.50834,34.371,87.25034,152.67732,258.436,364.19468,429.62166,482.501,535.38034,600.80732,706.566,320.367566,330.943434
KRSNAA,550,595.75,605.05,536.3,573.172,68.75,562.04825,563.67075,504.422,520.647,530.6845,538.797,546.9095,556.947,573.172,589.397,599.4345,607.547,615.6595,625.697,641.922,582.67325,584.29575
KRYSTAL,531.8,543,859.5,524.15,601.392,335.35,547.13237,555.04663,266.042,345.1846,394.1457,433.717,473.2883,522.2494,601.392,680.5346,729.4957,769.067,808.6383,857.5994,936.742,647.73737,655.65163
KSB,849.1,893.25,913,822.55,860.454,90.45,845.81919,847.95381,770.004,791.3502,804.5559,815.229,825.9021,839.1078,860.454,881.8002,895.0059,905.679,916.3521,929.5578,950.904,872.95419,875.08881
KSCL,825,927.05,932,486.45,808.778,445.55,736.68801,747.20299,363.228,468.3778,533.4281,586.003,638.5779,703.6282,808.778,913.9278,978.9781,1031.553,1084.1279,1149.1782,1254.328,870.35301,880.86799
KSHINTL,454.05,534.1,665,454.05,532.528,210.95,498.39629,503.37471,321.578,371.3622,402.1609,427.053,451.9451,482.7438,532.528,582.3122,613.1109,638.003,662.8951,693.6938,743.478,561.68129,566.65971
KSL,625.85,656.85,673.5,300.1,578.772,373.4,518.35588,527.16812,205.372,293.4944,348.0108,392.072,436.1332,490.6496,578.772,666.8944,721.4108,765.472,809.5332,864.0496,952.172,630.37588,639.18812
KSOLVES,285.77,310.5,320.5,231.88,287.728,88.62,273.389284,275.480716,199.108,220.02232,232.96084,243.418,253.87516,266.81368,287.728,308.64232,321.58084,332.038,342.49516,355.43368,376.348,299.975284,302.066716
KTKBANK,227.89,242.97,251,75.5,205.198,175.5,176.8021,180.9439,29.698,71.116,96.739,117.448,138.157,163.78,205.198,246.616,272.239,292.948,313.657,339.28,380.698,229.4521,233.5939
KUANTUM,69.15,83.73,84.5,24.09,66.018,60.41,56.243662,57.669338,5.608,19.86476,28.68462,35.813,42.94138,51.76124,66.018,80.27476,89.09462,96.223,103.35138,112.17124,126.428,74.366662,75.792338
KWIL,24,24.85,70,23.56,32.918,46.44,25.404008,26.499992,-13.522,-2.56216,4.21808,9.698,15.17792,21.95816,32.918,43.87784,50.65808,56.138,61.61792,68.39816,79.358,39.336008,40.431992
LAGNAM,64,66.01,67.93,7.15,53.128,60.78,43.293796,44.728204,-7.652,6.69208,15.56596,22.738,29.91004,38.78392,53.128,67.47208,76.34596,83.518,90.69004,99.56392,113.908,61.527796,62.962204
LAL,7.3,7.83,1391.1,7,280.64,1384.1,56.69262,89.35738,-1103.46,-776.8124,-574.7338,-411.41,-248.0862,-46.0076,280.64,607.2876,809.3662,972.69,1136.0138,1338.0924,1664.74,471.92262,504.58738
LALPATHLAB,1328.7,1404.7,1416.2,99.01,1123.802,1317.19,910.680658,941.766342,-193.388,117.46884,309.77858,465.207,620.63542,812.94516,1123.802,1434.65884,1626.96858,1782.397,1937.82542,2130.13516,2440.992,1305.837658,1336.923342
LAMBODHARA,93.45,104.67,448.8,91.1,164.336,357.7,106.46014,114.90186,-193.364,-108.9468,-56.7226,-14.514,27.6946,79.9188,164.336,248.7532,300.9774,343.186,385.3946,437.6188,522.036,213.77014,222.21186
LANDMARK,413.4,424.75,442,1,335.604,441,264.2502,274.6578,-105.396,-1.32,63.066,115.104,167.142,231.528,335.604,439.68,504.066,556.104,608.142,672.528,776.604,396.5502,406.9578
LANDSMILL,1.05,1.11,184.69,0.99,36.036,183.7,6.31334,10.64866,-147.664,-104.3108,-77.4906,-55.814,-34.1374,-7.3172,36.036,79.3892,106.2094,127.886,149.5626,176.3828,219.736,61.42334,65.75866
LAOPALA,177.15,173.88,184.7,7,142.288,177.7,113.53614,117.72986,-35.412,6.5252,32.4694,53.438,74.4066,100.3508,142.288,184.2252,210.1694,231.138,252.1066,278.0508,319.988,166.84614,171.03986
LASA,6.45,7.62,303.4,6.42,65.614,296.98,17.562636,24.571364,-231.366,-161.27872,-117.91964,-82.876,-47.83236,-4.47328,65.614,135.70128,179.06036,214.104,249.14764,292.50672,362.594,106.656636,113.665364
LATENTVIEW,318.3,295.5,320.7,20.19,242.696,300.51,194.073482,201.165518,-57.814,13.10636,56.98082,92.441,127.90118,171.77564,242.696,313.61636,357.49082,392.951,428.41118,472.28564,543.206,284.226482,291.318518
LATTEYS,19.9,21.8,1092.25,18.2,232.588,1074.05,58.80671,84.15429,-841.462,-587.9862,-431.1749,-304.437,-177.6991,-20.8878,232.588,486.0638,642.8751,769.613,896.3509,1053.1622,1306.638,381.02171,406.36929
LAURUSLABS,1042.9,1098.35,1109,183.95,895.006,925.05,745.33291,767.16409,-30.044,188.2678,323.3251,432.481,541.6369,676.6942,895.006,1113.3178,1248.3751,1357.531,1466.6869,1601.7442,1820.056,1022.84791,1044.67909
LAXMIDENTL,183,190.09,197.69,82.1,167.56,115.59,148.857538,151.585462,51.97,79.24924,96.12538,109.765,123.40462,140.28076,167.56,194.83924,211.71538,225.355,238.99462,255.87076,283.15,183.534538,186.262462
LAXMIINDIA,78.39,104.89,461.8,77.82,162.156,383.98,100.028036,109.089964,-221.824,-131.20472,-75.14364,-29.834,15.47564,71.53672,162.156,252.77528,308.83636,354.146,399.45564,455.51672,546.136,215.222036,224.283964
LEMERITE,455.55,443.45,455.55,111.9,378.792,343.65,323.18943,331.29957,35.142,116.2434,166.4163,206.967,247.5177,297.6906,378.792,459.8934,510.0663,550.617,591.1677,641.3406,722.442,426.28443,434.39457
LEMONTREE,108.7,114.15,519,106.7,191.07,412.3,124.35986,134.09014,-221.23,-123.9272,-63.7314,-15.08,33.5714,93.7672,191.07,288.3728,348.5686,397.22,445.8714,506.0672,603.37,248.04986,257.78014
LENSKART,487.9,547.55,550,125.01,436.444,424.99,367.680618,377.710382,11.454,111.75164,173.80018,223.949,274.09782,336.14636,436.444,536.74164,598.79018,648.939,699.08782,761.13636,861.434,495.177618,505.207382
LFIC,121.21,134.56,1756.4,116.71,451.008,1639.69,185.706158,224.402842,-1188.682,-801.71516,-562.32042,-368.837,-175.35358,64.04116,451.008,837.97484,1077.36958,1270.853,1464.33642,1703.73116,2090.698,677.613158,716.309842
LGBBROSLTD,1739.9,1774.5,1824,1409.8,1678.244,414.2,1611.22644,1621.00156,1264.044,1361.7952,1422.2684,1471.144,1520.0196,1580.4928,1678.244,1775.9952,1836.4684,1885.344,1934.2196,1994.6928,2092.444,1735.48644,1745.26156
LGEINDIA,1336,1477.7,1484.9,241,1178.46,1243.9,977.19698,1006.55302,-65.44,228.1204,409.7298,556.51,703.2902,884.8996,1178.46,1472.0204,1653.6298,1800.41,1947.1902,2128.7996,2422.36,1350.36698,1379.72302
LGHL,232.14,241.73,254.95,10.06,195.138,244.89,155.514798,161.294202,-49.752,8.04204,43.79598,72.693,101.59002,137.34396,195.138,252.93204,288.68598,317.583,346.48002,382.23396,440.028,228.981798,234.761202
LIBAS,10.14,11.13,264.8,9.95,60.802,254.85,19.56727,25.58173,-194.048,-133.9034,-96.6953,-66.623,-36.5507,0.6574,60.802,120.9466,158.1547,188.227,218.2993,255.5074,315.652,96.02227,102.03673
LIBERTSHOE,234.99,261.75,530.5,232.01,313.592,298.49,265.296318,272.340682,15.102,85.54564,129.12518,164.347,199.56882,243.14836,313.592,384.03564,427.61518,462.837,498.05882,541.63836,612.082,354.843318,361.887682
LICHSGFIN,517.4,531.65,803.6,508.75,576.13,294.85,528.42327,535.38173,281.28,350.8646,393.9127,428.705,463.4973,506.5454,576.13,645.7146,688.7627,723.555,758.3473,801.3954,870.98,616.87827,623.83673
LICI,736,798.35,814.4,134.95,642.16,679.45,532.22499,548.26001,-37.29,123.0602,222.2599,302.435,382.6101,481.8098,642.16,802.5102,901.7099,981.885,1062.0601,1161.2598,1321.61,736.05999,752.09501
LICMFGOLD,132.5,134.2,135.45,28.41,112.516,107.04,95.196928,97.723072,5.476,30.73744,46.36528,58.996,71.62672,87.25456,112.516,137.77744,153.40528,166.036,178.66672,194.29456,219.556,127.308928,129.835072
LICNETFGSC,28.46,28.6,267.77,28.14,75.934,239.63,37.161866,42.817134,-163.696,-107.14332,-72.15734,-43.881,-15.60466,19.38132,75.934,132.48668,167.47266,195.749,224.02534,259.01132,315.564,109.050866,114.706134
LICNETFN50,253.7,267.74,869,251.62,382.1,617.38,282.207916,296.778084,-235.28,-89.57832,0.55916,73.41,146.26084,236.39832,382.1,527.80168,617.93916,690.79,763.64084,853.77832,999.48,467.421916,481.992084
LICNETFSEN,821.74,872.96,873.09,266.71,730.736,606.38,632.623716,646.934284,124.356,267.46168,355.99316,427.546,499.09884,587.63032,730.736,873.84168,962.37316,1033.926,1105.47884,1194.01032,1337.116,814.537716,828.848284
LICNFNHGP,253.71,271.27,271.28,55.9,220.742,215.38,185.893516,190.976484,5.362,56.19168,87.63716,113.052,138.46684,169.91232,220.742,271.57168,303.01716,328.432,353.84684,385.29232,436.122,250.507516,255.590484
LICNMID100,54.05,58.17,252.81,53.71,92.684,199.1,60.46962,65.16838,-106.416,-59.4284,-30.3598,-6.866,16.6278,45.6964,92.684,139.6716,168.7402,192.234,215.7278,244.7964,291.784,120.19962,124.89838
LIKHITHA,172.49,221.86,245.13,99.6,188.59,145.53,165.043246,168.477754,43.06,77.40508,98.65246,115.825,132.99754,154.24492,188.59,222.93508,244.18246,261.355,278.52754,299.77492,334.12,208.702246,212.136754
LINC,102.9,99.06,582.6,97.01,191.044,485.59,112.475538,123.935462,-294.546,-179.94676,-109.05062,-51.751,5.54862,76.44476,191.044,305.64324,376.53938,433.839,491.13862,562.03476,676.634,258.152538,269.612462
LINCOLN,614,578.1,7296.5,545,1888.234,6751.5,795.8413,955.1767,-4863.266,-3269.912,-2284.193,-1487.516,-690.839,294.88,1888.234,3481.588,4467.307,5263.984,6060.661,7046.38,8639.734,2821.2913,2980.6267
LINDEINDIA,7316,7190,7380,1034.65,5965.44,6345.35,4938.76237,5088.51263,-379.91,1117.5926,2044.0137,2792.765,3541.5163,4467.9374,5965.44,7462.9426,8389.3637,9138.115,9886.8663,10813.2874,12310.79,6842.36737,6992.11763
LIQGRWBEES,1037.78,1035.14,1040,999.99,1027.794,40.01,1021.320382,1022.264618,987.784,997.22636,1003.06782,1007.789,1012.51018,1018.35164,1027.794,1037.23636,1043.07782,1047.799,1052.52018,1058.36164,1067.804,1033.323382,1034.267618
LIQUID,999.99,999.99,1101,999.99,1019.784,101.01,1003.440582,1005.824418,918.774,942.61236,957.35982,969.279,981.19818,995.94564,1019.784,1043.62236,1058.36982,1070.289,1082.20818,1096.95564,1120.794,1033.743582,1036.127418
LIQUID1,1101.25,1099.47,1121.1,1096.66,1103.4,24.44,1099.445608,1100.022392,1078.96,1084.72784,1088.29608,1091.18,1094.06392,1097.63216,1103.4,1109.16784,1112.73608,1115.62,1118.50392,1122.07216,1127.84,1106.777608,1107.354392
LIQUIDADD,1120.83,1121.63,1121.66,999,1096.924,122.66,1077.077612,1079.972388,974.264,1003.21176,1021.12012,1035.594,1050.06788,1067.97624,1096.924,1125.87176,1143.78012,1158.254,1172.72788,1190.63624,1219.584,1113.875612,1116.770388
LIQUIDBEES,998.09,1000,1076.51,998.09,1015.3,78.42,1002.611644,1004.462356,936.88,955.38712,966.83644,976.09,985.34356,996.79288,1015.3,1033.80712,1045.25644,1054.51,1063.76356,1075.21288,1093.72,1026.137644,1027.988356
LIQUIDBETF,1079.9,1077.05,1079.9,113.51,883.956,966.39,727.594098,750.400902,-82.434,145.63404,286.72698,400.761,514.79502,655.88796,883.956,1112.02404,1253.11698,1367.151,1481.18502,1622.27796,1850.346,1017.511098,1040.317902
LIQUIDCASE,113.5,113.58,1000.01,113.48,290.82,886.53,147.379446,168.301554,-595.71,-386.48892,-257.05554,-152.445,-47.83446,81.59892,290.82,500.04108,629.47446,734.085,838.69554,968.12892,1177.35,413.338446,434.260554
LIQUIDETF,999.99,1000,1000.01,997.9,999.998,2.11,999.656602,999.706398,997.888,998.38596,998.69402,998.943,999.19198,999.50004,999.998,1000.49596,1000.80402,1001.053,1001.30198,1001.61004,1002.108,1000.289602,1000.339398
LIQUIDIETF,1000,999.99,1080.1,999.8,1016.014,80.3,1003.02146,1004.91654,935.714,954.6648,966.3886,975.864,985.3394,997.0632,1016.014,1034.9648,1046.6886,1056.164,1065.6394,1077.3632,1096.314,1027.11146,1029.00654
LIQUIDPLUS,1079.68,1080.64,1080.65,999.99,1064.112,80.66,1051.061212,1052.964788,983.452,1002.48776,1014.26412,1023.782,1033.29988,1045.07624,1064.112,1083.14776,1094.92412,1104.442,1113.95988,1125.73624,1144.772,1075.259212,1077.162788
LIQUIDSBI,1000.01,999.99,1099.3,999.99,1019.856,99.31,1003.787642,1006.131358,920.546,943.98316,958.48242,970.201,981.91958,996.41884,1019.856,1043.29316,1057.79242,1069.511,1081.22958,1095.72884,1119.166,1033.580642,1035.924358
LIQUIDSHRI,1099.02,1099.81,1099.82,47.05,889.206,1052.77,718.867814,743.713186,-163.564,84.88972,238.59414,362.821,487.04786,640.75228,889.206,1137.65972,1291.36414,1415.591,1539.81786,1693.52228,1941.976,1034.698814,1059.544186
LLOYDSENGG,42.1,49.88,60.7,40.75,48.966,19.95,45.73809,46.20891,29.016,33.7242,36.6369,38.991,41.3451,44.2578,48.966,53.6742,56.5869,58.941,61.2951,64.2078,68.916,51.72309,52.19391
LLOYDSENT,45.9,59.3,1499.9,44.11,339.234,1455.79,103.687178,138.043822,-1116.556,-772.98956,-560.44422,-388.661,-216.87778,-4.33244,339.234,682.80044,895.34578,1067.129,1238.91222,1451.45756,1795.024,540.424178,574.780822
LLOYDSME,1383.6,1506.2,13770,1360.5,3885.682,12409.5,1877.8249,2170.6891,-8523.818,-5595.176,-3783.389,-2319.068,-854.747,957.04,3885.682,6814.324,8626.111,10090.432,11554.753,13366.54,16295.182,5600.6749,5893.5391
LMW,12311,13609,13819,754.05,10783.602,13064.95,8669.69309,8978.02591,-2281.348,801.9802,2709.4629,4251.127,5792.7911,7700.2738,10783.602,13866.9302,15774.4129,17316.077,18857.7411,20765.2238,23848.552,12589.17809,12897.51091
LODHA,696.05,826.55,842,216.3,649.724,625.7,548.48574,563.25226,24.024,171.6892,263.0414,336.874,410.7066,502.0588,649.724,797.3892,888.7414,962.574,1036.4066,1127.7588,1275.424,736.19574,750.96226
LOKESHMACH,215,233.78,236,137.05,205.486,98.95,189.47589,191.81111,106.536,129.8882,144.3349,156.011,167.6871,182.1338,205.486,228.8382,243.2849,254.961,266.6371,281.0838,304.436,219.16089,221.49611
LORDSCHLO,124.8,154.46,155.69,120.81,138.412,34.88,132.768416,133.591584,103.532,111.76368,116.85616,120.972,125.08784,130.18032,138.412,146.64368,151.73616,155.852,159.96784,165.06032,173.292,143.232416,144.055584
LOTUSDEV,113.1,139.06,141.9,105,125.3,36.9,119.32958,120.20042,88.4,97.1084,102.4958,106.85,111.2042,116.5916,125.3,134.0084,139.3958,143.75,148.1042,153.4916,162.2,130.39958,131.27042
LOTUSEYE,105.9,107.48,111,66.03,98.94,44.97,91.663854,92.725146,53.97,64.58292,71.14854,76.455,81.76146,88.32708,98.94,109.55292,116.11854,121.425,126.73146,133.29708,143.91,105.154854,106.216146
LOVABLE,63.95,70.22,199.44,62,93.15,137.44,70.912208,74.155792,-44.29,-11.85416,8.21208,24.43,40.64792,60.71416,93.15,125.58584,145.65208,161.87,178.08792,198.15416,230.59,112.144208,115.387792
LOWVOL,183.58,200.12,204.56,20.09,160.002,184.47,130.154754,134.508246,-24.468,19.06692,45.99954,67.767,89.53446,116.46708,160.002,203.53692,230.46954,252.237,274.00446,300.93708,344.472,185.495754,189.849246
LOWVOL1,20.29,20.48,21.4,19.05,20.182,2.35,19.80177,19.85723,17.832,18.3866,18.7297,19.007,19.2843,19.6274,20.182,20.7366,21.0797,21.357,21.6343,21.9774,22.532,20.50677,20.56223
LOWVOLIETF,20.56,21.52,21.96,7.5,18.304,14.46,15.964372,16.305628,3.844,7.25656,9.36772,11.074,12.78028,14.89144,18.304,21.71656,23.82772,25.534,27.24028,29.35144,32.764,20.302372,20.643628
LPDC,5.95,7.84,4032,5.51,804.686,4026.49,153.199918,248.225082,-3221.804,-2271.55236,-1683.68482,-1208.559,-733.43318,-145.56564,804.686,1754.93764,2342.80518,2817.931,3293.05682,3880.92436,4831.176,1361.146918,1456.172082
LT,3616.6,3959.9,3988,268,3105.206,3720,2503.31,2591.102,-614.794,263.126,806.246,1245.206,1684.166,2227.286,3105.206,3983.126,4526.246,4965.206,5404.166,5947.286,6825.206,3619.31,3707.102
LTF,243.9,278.43,415.5,242.1,292.61,173.4,264.55388,268.64612,119.21,160.1324,185.4488,205.91,226.3712,251.6876,292.61,333.5324,358.8488,379.31,399.7712,425.0876,466.01,316.57388,320.66612
LTFOODS,386,410.4,414.15,29,323.058,385.15,260.74073,269.83027,-62.092,28.8034,85.0353,130.483,175.9307,232.1626,323.058,413.9534,470.1853,515.633,561.0807,617.3126,708.208,376.28573,385.37527
LTGILTBEES,29.06,29.12,30.34,28.68,29.1,1.66,28.831412,28.870588,27.44,27.83176,28.07412,28.27,28.46588,28.70824,29.1,29.49176,29.73412,29.93,30.12588,30.36824,30.76,29.329412,29.368588
LTGILTCASE,30.24,29.68,4584.4,28.8,924.4,4555.6,187.30392,294.81608,-3631.2,-2556.0784,-1890.9608,-1353.4,-815.8392,-150.7216,924.4,1999.5216,2664.6392,3202.2,3739.7608,4404.8784,5480,1553.98392,1661.49608
LTM,4279.8,4503.7,4583.1,3355,4213.034,1228.1,4014.32742,4043.31058,2984.934,3274.7656,3454.0682,3598.984,3743.8998,3923.2024,4213.034,4502.8656,4682.1682,4827.084,4971.9998,5151.3024,5441.134,4382.75742,4411.74058
LTTS,3348.9,3446.5,5309.7,3300,3738.746,2009.7,3413.57654,3461.00546,1729.046,2203.3352,2496.7514,2733.896,2971.0406,3264.4568,3738.746,4213.0352,4506.4514,4743.596,4980.7406,5274.1568,5748.446,4016.48654,4063.91546
LUMAXIND,4820,5571.6,5723.4,1642,4445.282,4081.4,3784.91148,3881.23252,363.882,1327.0924,1922.9768,2404.582,2886.1872,3482.0716,4445.282,5408.4924,6004.3768,6485.982,6967.5872,7563.4716,8526.682,5009.33148,5105.65252
LUMAXTECH,1616.9,1823.3,2339,1594,1834.162,745,1713.621,1731.203,1089.162,1264.982,1373.752,1461.662,1549.572,1658.342,1834.162,2009.982,2118.752,2206.662,2294.572,2403.342,2579.162,1937.121,1954.703
LUPIN,2270.1,2333.8,2336.4,1242,2091.23,1094.4,1914.15608,1939.98392,996.83,1255.1084,1414.8908,1544.03,1673.1692,1832.9516,2091.23,2349.5084,2509.2908,2638.43,2767.5692,2927.3516,3185.63,2242.47608,2268.30392
LUXIND,949.95,1347,1355.5,120.5,988.152,1235,788.329,817.475,-246.848,44.612,224.922,370.652,516.382,696.692,988.152,1279.612,1459.922,1605.652,1751.382,1931.692,2223.152,1158.829,1187.975
LXCHEM,118,126.19,128.5,58.07,109.288,70.43,97.892426,99.554574,38.858,55.47948,65.76226,74.073,82.38374,92.66652,109.288,125.90948,136.19226,144.503,152.81374,163.09652,179.718,119.021426,120.683574
LYKALABS,54.6,58.05,61.99,4.83,46.886,57.16,37.637512,38.986488,-10.274,3.21576,11.56112,18.306,25.05088,33.39624,46.886,60.37576,68.72112,75.466,82.21088,90.55624,104.046,54.785512,56.134488
LYPSAGEMS,4.77,5.33,3231,4.65,644.81,3226.35,122.78657,198.92843,-2581.54,-1820.1214,-1349.0743,-968.365,-587.6557,-116.6086,644.81,1406.2286,1877.2757,2257.985,2638.6943,3109.7414,3871.16,1090.69157,1166.83343
M&M,3006.1,3259.8,3270,284.15,2539.074,2985.85,2055.96347,2126.42953,-446.776,257.8846,693.8187,1046.149,1398.4793,1834.4134,2539.074,3243.7346,3679.6687,4031.999,4384.3293,4820.2634,5524.924,2951.71847,3022.18453
M&MFIN,287.4,302.1,304.9,131,258.576,173.9,230.43898,234.54302,84.676,125.7164,151.1058,171.626,192.1462,217.5356,258.576,299.6164,325.0058,345.526,366.0462,391.4356,432.476,282.60898,286.71302
MAANALU,128,136.27,997.7,125,301.054,872.7,159.85114,180.44686,-571.646,-365.6888,-238.2746,-135.296,-32.3174,95.0968,301.054,507.0112,634.4254,737.404,840.3826,967.7968,1173.754,421.66114,442.25686
MACPOWER,869.95,1012.5,1054.8,32.03,768.416,1022.77,602.931814,627.069186,-254.354,-12.98028,136.34414,257.031,377.71786,527.04228,768.416,1009.78972,1159.11414,1279.801,1400.48786,1549.81228,1791.186,909.762814,933.900186
MADHAV,33.4,35.21,36.2,4.52,28.004,31.68,22.878176,23.625824,-3.676,3.80048,8.42576,12.164,15.90224,20.52752,28.004,35.48048,40.10576,43.844,47.58224,52.20752,59.684,32.382176,33.129824
MADHUCON,4.31,5.14,66.6,4.13,16.746,62.47,6.638354,8.112646,-45.724,-30.98108,-21.86046,-14.489,-7.11754,2.00308,16.746,31.48892,40.60954,47.981,55.35246,64.47308,79.216,25.379354,26.853646
MADRASFERT,58.81,66.76,155.94,58.02,82.17,97.92,66.326544,68.637456,-15.75,7.35912,21.65544,33.21,44.76456,59.06088,82.17,105.27912,119.57544,131.13,142.68456,156.98088,180.09,95.702544,98.013456
MAFANG,156.79,160.27,504.7,150.66,223.57,354.04,166.286328,174.641672,-130.47,-46.91656,4.77328,46.55,88.32672,140.01656,223.57,307.12344,358.81328,400.59,442.36672,494.05656,577.61,272.498328,280.853672
MAGADSUGAR,493.75,486.3,503.8,21.45,397.24,482.35,319.19577,330.57923,-85.11,28.7246,99.1477,156.065,212.9823,283.4054,397.24,511.0746,581.4977,638.415,695.3323,765.7554,879.59,463.90077,475.28423
MAGNUM,22.49,22.21,70.75,20.8,31.338,49.95,23.25609,24.43491,-18.612,-6.8238,0.4689,6.363,12.2571,19.5498,31.338,43.1262,50.4189,56.313,62.2071,69.4998,81.288,38.24109,39.41991
MAHABANK,64.22,70.59,71.45,47.5,64.322,23.95,60.44689,61.01211,40.372,46.0242,49.5209,52.347,55.1731,58.6698,64.322,69.9742,73.4709,76.297,79.1231,82.6198,88.272,67.63189,68.19711
MAHAPEXLTD,46.85,51.21,113.27,45,60.858,68.27,49.811914,51.423086,-7.412,8.69972,18.66714,26.723,34.77886,44.74628,60.858,76.96972,86.93714,94.993,103.04886,113.01628,129.128,70.292914,71.904086
MAHEPC,104.26,112.45,113.68,45.11,95.584,68.57,84.489374,86.107626,27.014,43.19652,53.20774,61.299,69.39026,79.40148,95.584,111.76652,121.77774,129.869,137.96026,147.97148,164.154,105.060374,106.678626
MAHESHWARI,43.12,47,47.49,22.32,41.044,25.17,36.971494,37.565506,15.874,21.81412,25.48894,28.459,31.42906,35.10388,41.044,46.98412,50.65894,53.629,56.59906,60.27388,66.214,44.522494,45.116506
MAHKTECH,23.1,23.4,354.9,22.25,87.746,332.65,33.92323,41.77377,-244.904,-166.3986,-117.8317,-78.579,-39.3263,9.2406,87.746,166.2514,214.8183,254.071,293.3237,341.8906,420.396,133.71823,141.56877
MAHLIFE,317,344.7,392,311.15,346.978,80.85,333.89647,335.80453,266.128,285.2086,297.0127,306.553,316.0933,327.8974,346.978,366.0586,377.8627,387.403,396.9433,408.7474,427.828,358.15147,360.05953
MAHLOG,350.3,387.7,13082,341.6,2862.88,12740.4,801.48328,1102.15672,-9877.52,-6870.7856,-5010.6872,-3507.32,-2003.9528,-143.8544,2862.88,5869.6144,7729.7128,9233.08,10736.4472,12596.5456,15603.28,4623.60328,4924.27672
MAHSCOOTER,11385,13421,13500,604.1,10146.102,12895.9,8059.54538,8363.88862,-2749.798,293.6344,2176.4358,3698.152,5219.8682,7102.6696,10146.102,13189.5344,15072.3358,16594.052,18115.7682,19998.5696,23042.002,11928.31538,12232.65862
MAHSEAMLES,588.4,623.15,956,580.2,673.082,375.8,612.27756,621.14644,297.282,385.9708,440.8376,485.182,529.5264,584.3932,673.082,761.7708,816.6376,860.982,905.3264,960.1932,1048.882,725.01756,733.88644
MAITHANALL,905,943.4,954.2,149.63,773.208,804.57,643.028574,662.016426,-31.362,158.51652,275.98374,370.923,465.86226,583.32948,773.208,963.08652,1080.55374,1175.493,1270.43226,1387.89948,1577.778,884.399574,903.387426
MAKEINDIA,145.97,154.39,1115,142.41,340.556,972.59,183.190938,206.144062,-632.034,-402.50276,-260.50462,-145.739,-30.97338,111.02476,340.556,570.08724,712.08538,826.851,941.61662,1083.61476,1313.146,474.967938,497.921062
MALLCOM,1020,1113.95,1128,33.06,857.838,1094.94,680.676708,706.517292,-237.102,21.30384,181.16508,310.368,439.57092,599.43216,857.838,1116.24384,1276.10508,1405.308,1534.51092,1694.37216,1952.778,1009.158708,1034.999292
MALUPAPER,30.72,33.52,375,30.5,99.57,344.5,43.8299,51.9601,-244.93,-163.628,-113.331,-72.68,-32.029,18.268,99.57,180.872,231.169,271.82,312.471,362.768,444.07,147.1799,155.3101
MAMATA,342,373.25,376,105.84,308.904,270.16,265.192112,271.567888,38.744,102.50176,141.94512,173.824,205.70288,245.14624,308.904,372.66176,412.10512,443.984,475.86288,515.30624,579.064,346.240112,352.615888
MANAKCOAT,103.95,106.05,107.8,54.1,95.188,53.7,86.49934,87.76666,41.488,54.1612,62.0014,68.338,74.6746,82.5148,95.188,107.8612,115.7014,122.038,128.3746,136.2148,148.888,102.60934,103.87666
